Month of Date (International),Week of Date (International),Year of Date (International),Flights,Flights (International),Total Flights
January,Week 2,2019,24117,4636,28753
January,Week 2,2019,25652,4383,30035
January,Week 2,2019,25227,4065,29292
January,Week 2,2019,25746,4153,29899
January,Week 2,2019,26678,4308,30986
January,Week 2,2019,26142,4383,30525
January,Week 2,2019,19078,4619,23697
January,Week 3,2019,22374,4361,26735
January,Week 3,2019,25143,4200,29343
January,Week 3,2019,24941,3914,28855
January,Week 3,2019,25572,4103,29675
January,Week 3,2019,26933,4314,31247
January,Week 3,2019,26494,4394,30888
January,Week 3,2019,17378,4386,21764
January,Week 4,2019,19648,4117,23765
January,Week 4,2019,24720,4161,28881
January,Week 4,2019,24154,3832,27986
January,Week 4,2019,25355,3963,29318
January,Week 4,2019,26471,4172,30643
January,Week 4,2019,26372,4338,30710
January,Week 4,2019,19536,4558,24094
January,Week 5,2019,23153,4308,27461
January,Week 5,2019,23782,3946,27728
January,Week 5,2019,24144,3710,27854
January,Week 5,2019,23283,3835,27118
January,Week 5,2019,25006,4038,29044
February,Week 5,2019,26168,4233,30401
February,Week 5,2019,19089,4516,23605
February,Week 6,2019,20933,4223,25156
February,Week 6,2019,25576,4073,29649
February,Week 6,2019,24743,3785,28528
February,Week 6,2019,25547,3801,29348
February,Week 6,2019,26376,4108,30484
February,Week 6,2019,26198,4229,30427
February,Week 6,2019,19304,4518,23822
February,Week 7,2019,22862,4275,27137
February,Week 7,2019,24601,4083,28684
February,Week 7,2019,23259,3481,26740
February,Week 7,2019,26023,3817,29840
February,Week 7,2019,27474,4263,31737
February,Week 7,2019,27255,4432,31687
February,Week 7,2019,20240,4736,24976
February,Week 8,2019,21455,4341,25796
February,Week 8,2019,25865,4243,30108
February,Week 8,2019,26571,4044,30615
February,Week 8,2019,24907,4003,28910
February,Week 8,2019,26939,4306,31245
February,Week 8,2019,26843,4455,31298
February,Week 8,2019,20434,4775,25209
February,Week 9,2019,23134,4387,27521
February,Week 9,2019,24898,4243,29141
February,Week 9,2019,26183,4087,30270
February,Week 9,2019,26758,4134,30892
February,Week 9,2019,27532,4379,31911
March,Week 9,2019,27107,4463,31570
March,Week 9,2019,21050,4788,25838
March,Week 10,2019,23879,4450,28329
March,Week 10,2019,25747,4286,30033
March,Week 10,2019,26730,4159,30889
March,Week 10,2019,27124,4234,31358
March,Week 10,2019,28138,4443,32581
March,Week 10,2019,27791,4528,32319
March,Week 10,2019,22306,4902,27208
March,Week 11,2019,25167,4588,29755
March,Week 11,2019,26867,4428,31295
March,Week 11,2019,27277,4208,31485
March,Week 11,2019,25927,4257,30184
March,Week 11,2019,27454,4408,31862
March,Week 11,2019,27852,4469,32321
March,Week 11,2019,22451,4889,27340
March,Week 12,2019,25339,4510,29849
March,Week 12,2019,26711,4350,31061
March,Week 12,2019,27227,4123,31350
March,Week 12,2019,27616,4300,31916
March,Week 12,2019,28175,4419,32594
March,Week 12,2019,27725,4407,32132
March,Week 12,2019,22415,4834,27249
March,Week 13,2019,25429,4532,29961
March,Week 13,2019,26800,4404,31204
March,Week 13,2019,27219,4150,31369
March,Week 13,2019,27560,4347,31907
March,Week 13,2019,28209,4448,32657
March,Week 13,2019,27648,4517,32165
March,Week 13,2019,22324,4900,27224
March,Week 14,2019,25349,4619,29968
April,Week 14,2019,26610,4404,31014
April,Week 14,2019,27079,4181,31260
April,Week 14,2019,27441,4336,31777
April,Week 14,2019,28239,4457,32696
April,Week 14,2019,27849,4481,32330
April,Week 14,2019,21810,4804,26614
April,Week 15,2019,25141,4530,29671
April,Week 15,2019,26780,4306,31086
April,Week 15,2019,27304,4146,31450
April,Week 15,2019,26913,4270,31183
April,Week 15,2019,27742,4397,32139
April,Week 15,2019,28013,4508,32521
April,Week 15,2019,21071,4767,25838
April,Week 16,2019,23903,4434,28337
April,Week 16,2019,26587,4311,30898
April,Week 16,2019,27230,4158,31388
April,Week 16,2019,27478,4329,31807
April,Week 16,2019,28399,4455,32854
April,Week 16,2019,26066,4394,30460
April,Week 16,2019,20821,4803,25624
April,Week 17,2019,24243,4536,28779
April,Week 17,2019,27302,4337,31639
April,Week 17,2019,27243,4222,31465
April,Week 17,2019,27463,4344,31807
April,Week 17,2019,28407,4430,32837
April,Week 17,2019,27367,4411,31778
April,Week 17,2019,20806,4764,25570
April,Week 18,2019,25354,4506,29860
April,Week 18,2019,26922,4320,31242
April,Week 18,2019,26838,4143,30981
May,Week 18,2019,27587,4247,31834
May,Week 18,2019,28613,4313,32926
May,Week 18,2019,27852,4348,32200
May,Week 18,2019,21515,4644,26159
May,Week 19,2019,25615,4414,30029
